symbol,side,qty,entry_time,exit_time,entry_price,exit_price,realized_pnl,unrealized_pnl,mfe,mae,regime_at_entry,regime_at_exit,entry_score,close_reason
PLTR,buy,3.0,2026-01-26 14:38:26.017097+00:00,2026-01-26 17:45:41.981670+00:00,0.0,0.0,1.68,0,0,0,unknown,UNKNOWN,0.0,displaced_by_BAC
XLF,buy,5.0,2026-01-26 14:38:47.196353+00:00,2026-01-26 15:02:32.102383+00:00,0.0,0.0,1.32,0,0,0,unknown,UNKNOWN,0.0,displaced_by_JPM
MRNA,buy,10.0,2026-01-26 14:39:04.795836+00:00,2026-01-26 18:35:14.602384+00:00,0.0,0.0,-1.64,0,0,0,unknown,UNKNOWN,0.0,trail_stop(-0.0%)
MS,buy,1.0,2026-01-26 14:39:32.289028+00:00,2026-01-26 17:46:10.951033+00:00,0.0,0.0,1.3,0,0,0,unknown,UNKNOWN,0.0,displaced_by_HOOD
C,buy,3.0,2026-01-26 14:39:50.848278+00:00,2026-01-26 14:45:06.231013+00:00,0.0,0.0,0.81,0,0,0,unknown,UNKNOWN,0.0,displaced_by_SOFI
XLV,buy,2.0,2026-01-26 14:40:04.031105+00:00,2026-01-26 14:53:12.087318+00:00,0.0,0.0,0.33,0,0,0,unknown,UNKNOWN,0.0,displaced_by_RIVN
XLE,buy,7.0,2026-01-26 14:40:22.723128+00:00,2026-01-26 18:45:40.626220+00:00,0.0,0.0,-1.53,0,0,0,unknown,UNKNOWN,0.0,displaced_by_NIO
XLP,buy,1.0,2026-01-26 14:40:42.547581+00:00,2026-01-26 14:52:57.511200+00:00,0.0,0.0,-0.08,0,0,0,unknown,UNKNOWN,0.0,displaced_by_PLTR
XLI,buy,1.0,2026-01-26 14:40:50.780943+00:00,2026-01-26 14:52:37.658602+00:00,0.0,0.0,-0.04,0,0,0,unknown,UNKNOWN,0.0,displaced_by_COIN
JPM,buy,1.0,2026-01-26 14:41:12.616917+00:00,2026-01-26 14:39:00.275002+00:00,0.0,0.0,0.11,0,0,0,mixed,UNKNOWN,4.160200000000001,displaced_by_GS
BAC,buy,10.0,2026-01-26 14:41:21.796503+00:00,2026-01-26 14:38:39.010167+00:00,0.0,0.0,-0.07,0,0,0,mixed,UNKNOWN,4.2295,displaced_by_JPM
INTC,buy,12.0,2026-01-26 14:41:57.328418+00:00,2026-01-26 15:04:28.550925+00:00,0.0,0.0,-5.21,0,0,0,unknown,UNKNOWN,0.0,displaced_by_XLP
BA,buy,2.0,2026-01-26 14:42:04.300011+00:00,2026-01-26 15:23:48.189199+00:00,0.0,0.0,-1.7,0,0,0,unknown,UNKNOWN,0.0,displaced_by_XLE
UNH,buy,1.0,2026-01-26 14:42:12.020664+00:00,2026-01-26 14:58:10.035925+00:00,0.0,0.0,-3.41,0,0,0,unknown,UNKNOWN,0.0,displaced_by_XLV
AMZN,buy,1.0,2026-01-26 14:42:41.343597+00:00,2026-01-26 14:51:45.460016+00:00,0.0,0.0,-2.77,0,0,0,unknown,UNKNOWN,0.0,displaced_by_PLTR
AMD,buy,1.0,2026-01-26 14:42:48.302228+00:00,2026-01-26 17:03:10.453157+00:00,0.0,0.0,-2.15,0,0,0,unknown,UNKNOWN,0.0,displaced_by_MRNA
TSLA,buy,1.0,2026-01-26 14:43:04.144174+00:00,2026-01-26 17:02:43.008968+00:00,0.0,0.0,-4.17,0,0,0,unknown,UNKNOWN,0.0,displaced_by_GS
MSFT,buy,1.0,2026-01-26 14:43:20.324116+00:00,2026-01-26 15:00:20.198736+00:00,0.0,0.0,0.57,0,0,0,unknown,UNKNOWN,0.0,displaced_by_MS
XLK,buy,2.0,2026-01-26 14:43:34.986183+00:00,2026-01-26 14:53:28.086895+00:00,0.0,0.0,1.89,0,0,0,unknown,UNKNOWN,0.0,displaced_by_C
