symbol,real_pnl,shadow_pnl,delta_pnl,in_real,in_shadow
AAPL,2.75,0,2.75,True,False
AMD,-2.7199999999999998,0,-2.7199999999999998,True,False
AMZN,-3.55,0,-3.55,True,False
BA,-1.67,0,-1.67,True,False
BAC,-0.64,0,-0.64,True,False
C,0.25,0,0.25,True,False
COIN,-7.620000000000002,0,-7.620000000000002,True,False
COP,-1.1,0,-1.1,True,False
CVX,-1.0100000000000002,0,-1.0100000000000002,True,False
DIA,1.35,0,1.35,True,False
F,-4.119999999999999,0,-4.119999999999999,True,False
GM,2.17,0,2.17,True,False
GOOGL,4.459999999999999,0,4.459999999999999,True,False
HD,-5.7200000000000015,0,-5.7200000000000015,True,False
HOOD,0.7200000000000002,0,0.7200000000000002,True,False
INTC,-11.03,0,-11.03,True,False
IWM,2.0900000000000003,0,2.0900000000000003,True,False
JNJ,-0.59,0,-0.59,True,False
JPM,-0.05000000000000002,0,-0.05000000000000002,True,False
LCID,-14.35,0,-14.35,True,False
LOW,-4.409999999999999,0,-4.409999999999999,True,False
MA,0.0,0,0.0,True,False
META,-0.7000000000000001,0,-0.7000000000000001,True,False
MRNA,-9.250000000000002,0,-9.250000000000002,True,False
MS,-0.9999999999999999,0,-0.9999999999999999,True,False
MSFT,0.6899999999999997,0,0.6899999999999997,True,False
NFLX,-3.46,0,-3.46,True,False
NIO,-20.049999999999997,0,-20.049999999999997,True,False
NVDA,-1.9200000000000002,0,-1.9200000000000002,True,False
PFE,-4.37,0,-4.37,True,False
PLTR,0.1299999999999999,0,0.1299999999999999,True,False
QQQ,-0.67,0,-0.67,True,False
RIVN,-7.160000000000003,0,-7.160000000000003,True,False
SLB,1.6400000000000001,0,1.6400000000000001,True,False
SOFI,0.36,0,0.36,True,False
SPY,0.0,0,0.0,True,False
TGT,-6.280000000000001,0,-6.280000000000001,True,False
TSLA,-0.7800000000000002,0,-0.7800000000000002,True,False
UNH,-7.599999999999999,0,-7.599999999999999,True,False
V,0.07,0,0.07,True,False
WFC,-0.6000000000000001,0,-0.6000000000000001,True,False
WMT,-0.42000000000000004,0,-0.42000000000000004,True,False
XLE,-2.4800000000000004,0,-2.4800000000000004,True,False
XLF,0.8800000000000001,0,0.8800000000000001,True,False
XLI,-0.03000000000000004,0,-0.03000000000000004,True,False
XLK,1.1999999999999997,0,1.1999999999999997,True,False
XLP,0.45,0,0.45,True,False
XLV,0.030000000000000002,0,0.030000000000000002,True,False
XOM,0.8300000000000001,0,0.8300000000000001,True,False
