trade_id,symbol,timestamp,entry_score,entry_price,pnl_usd,pnl_pct,hold_minutes,source
XLE_2026-02-19T13:56:00+00:00,XLE,2026-02-19T13:56:00+00:00,2.817,55.54,-1.8,-0.018,5,simulation
XLE_2026-02-19T13:57:00+00:00,XLE,2026-02-19T13:57:00+00:00,2.817,55.5681,-1.46,-0.0146,5,simulation
XLE_2026-02-19T13:58:00+00:00,XLE,2026-02-19T13:58:00+00:00,2.817,55.55,1.8,0.018,5,simulation
XLE_2026-02-19T13:59:00+00:00,XLE,2026-02-19T13:59:00+00:00,2.817,55.54,0.0,0.0,5,simulation
XLE_2026-02-19T14:00:00+00:00,XLE,2026-02-19T14:00:00+00:00,2.815,55.55,1.75,0.0175,5,simulation
XLE_2026-02-19T14:01:00+00:00,XLE,2026-02-19T14:01:00+00:00,2.815,55.53,-1.58,-0.0158,5,simulation
XLE_2026-02-19T14:02:00+00:00,XLE,2026-02-19T14:02:00+00:00,2.815,55.56,-5.4,-0.054,6,simulation
XLE_2026-02-19T14:03:00+00:00,XLE,2026-02-19T14:03:00+00:00,2.815,55.56,-7.2,-0.072,6,simulation
XLE_2026-02-19T14:04:00+00:00,XLE,2026-02-19T14:04:00+00:00,2.815,55.54,-7.2,-0.072,6,simulation
XLE_2026-02-19T14:05:00+00:00,XLE,2026-02-19T14:05:00+00:00,2.815,55.5597,-8.95,-0.0895,6,simulation
XLE_2026-02-19T14:06:00+00:00,XLE,2026-02-19T14:06:00+00:00,2.815,55.5212,-5.62,-0.0562,6,simulation
XLE_2026-02-19T14:08:00+00:00,XLE,2026-02-19T14:08:00+00:00,2.815,55.53,-5.4,-0.054,5,simulation
XLE_2026-02-19T14:09:00+00:00,XLE,2026-02-19T14:09:00+00:00,2.815,55.52,-3.6,-0.036,5,simulation
XLE_2026-02-19T14:10:00+00:00,XLE,2026-02-19T14:10:00+00:00,2.815,55.5,5.41,0.0541,5,simulation
XLE_2026-02-19T14:11:00+00:00,XLE,2026-02-19T14:11:00+00:00,2.815,55.51,3.6,0.036,5,simulation
XLE_2026-02-19T14:12:00+00:00,XLE,2026-02-19T14:12:00+00:00,2.815,55.49,7.21,0.0721,5,simulation
XLE_2026-02-19T14:13:00+00:00,XLE,2026-02-19T14:13:00+00:00,2.815,55.5,5.41,0.0541,5,simulation
XLE_2026-02-19T14:14:00+00:00,XLE,2026-02-19T14:14:00+00:00,2.815,55.5,5.41,0.0541,5,simulation
XLE_2026-02-19T14:15:00+00:00,XLE,2026-02-19T14:15:00+00:00,2.815,55.53,-1.8,-0.018,5,simulation
XLE_2026-02-19T14:16:00+00:00,XLE,2026-02-19T14:16:00+00:00,2.815,55.53,-3.62,-0.0362,5,simulation
XLE_2026-02-19T14:17:00+00:00,XLE,2026-02-19T14:17:00+00:00,2.815,55.53,-4.97,-0.0497,5,simulation
XLE_2026-02-19T14:18:00+00:00,XLE,2026-02-19T14:18:00+00:00,2.815,55.53,0.0,0.0,5,simulation
XLE_2026-02-19T14:19:00+00:00,XLE,2026-02-19T14:19:00+00:00,2.815,55.53,-0.56,-0.0056,5,simulation
XLE_2026-02-19T14:20:00+00:00,XLE,2026-02-19T14:20:00+00:00,2.815,55.52,-7.2,-0.072,5,simulation
XLE_2026-02-19T14:21:00+00:00,XLE,2026-02-19T14:21:00+00:00,2.813,55.5099,-10.79,-0.1079,5,simulation
XLE_2026-02-19T14:22:00+00:00,XLE,2026-02-19T14:22:00+00:00,2.813,55.5024,-9.44,-0.0944,5,simulation
XLE_2026-02-19T14:23:00+00:00,XLE,2026-02-19T14:23:00+00:00,2.813,55.53,-12.61,-0.1261,5,simulation
XLE_2026-02-19T14:24:00+00:00,XLE,2026-02-19T14:24:00+00:00,2.813,55.5269,-13.85,-0.1385,5,simulation
XLE_2026-02-19T14:25:00+00:00,XLE,2026-02-19T14:25:00+00:00,2.813,55.48,-17.12,-0.1712,5,simulation
XLE_2026-02-19T14:26:00+00:00,XLE,2026-02-19T14:26:00+00:00,2.813,55.45,5.41,0.0541,5,simulation
XLE_2026-02-19T14:27:00+00:00,XLE,2026-02-19T14:27:00+00:00,2.813,55.45,-7.21,-0.0721,5,simulation
XLE_2026-02-19T14:28:00+00:00,XLE,2026-02-19T14:28:00+00:00,2.813,55.46,-20.74,-0.2074,5,simulation
XLE_2026-02-19T14:29:00+00:00,XLE,2026-02-19T14:29:00+00:00,2.813,55.45,5.46,0.0546,5,simulation
XLE_2026-02-19T14:30:00+00:00,XLE,2026-02-19T14:30:00+00:00,2.813,55.385,0.0,0.0,5,simulation
XLE_2026-02-19T14:31:00+00:00,XLE,2026-02-19T14:31:00+00:00,2.813,55.48,-3.6,-0.036,5,simulation
XLE_2026-02-19T14:32:00+00:00,XLE,2026-02-19T14:32:00+00:00,2.813,55.41,37.9,0.379,5,simulation
XLE_2026-02-19T14:33:00+00:00,XLE,2026-02-19T14:33:00+00:00,2.813,55.345,49.69,0.4969,5,simulation
XLE_2026-02-19T14:34:00+00:00,XLE,2026-02-19T14:34:00+00:00,2.813,55.4803,50.11,0.5011,5,simulation
XLE_2026-02-19T14:35:00+00:00,XLE,2026-02-19T14:35:00+00:00,2.813,55.385,65.0,0.65,5,simulation
XLE_2026-02-19T14:36:00+00:00,XLE,2026-02-19T14:36:00+00:00,2.813,55.46,62.21,0.6221,5,simulation
XLE_2026-02-19T14:37:00+00:00,XLE,2026-02-19T14:37:00+00:00,2.813,55.62,16.18,0.1618,5,simulation
XLE_2026-02-19T14:38:00+00:00,XLE,2026-02-19T14:38:00+00:00,2.813,55.62,27.87,0.2787,5,simulation
XLE_2026-02-19T14:39:00+00:00,XLE,2026-02-19T14:39:00+00:00,2.813,55.7583,15.55,0.1555,5,simulation
XLE_2026-02-19T14:40:00+00:00,XLE,2026-02-19T14:40:00+00:00,2.813,55.745,-5.38,-0.0538,5,simulation
XLE_2026-02-19T14:41:00+00:00,XLE,2026-02-19T14:41:00+00:00,2.813,55.805,-8.96,-0.0896,5,simulation
XLE_2026-02-19T14:42:00+00:00,XLE,2026-02-19T14:42:00+00:00,2.813,55.71,12.57,0.1257,5,simulation
XLE_2026-02-19T14:43:00+00:00,XLE,2026-02-19T14:43:00+00:00,2.813,55.775,9.86,0.0986,5,simulation
XLE_2026-02-19T14:44:00+00:00,XLE,2026-02-19T14:44:00+00:00,2.813,55.845,-20.59,-0.2059,5,simulation
XLE_2026-02-19T14:45:00+00:00,XLE,2026-02-19T14:45:00+00:00,2.813,55.715,-9.87,-0.0987,5,simulation
XLE_2026-02-19T14:46:00+00:00,XLE,2026-02-19T14:46:00+00:00,2.813,55.755,-9.86,-0.0986,5,simulation
XLE_2026-02-19T14:47:00+00:00,XLE,2026-02-19T14:47:00+00:00,2.812,55.78,-19.72,-0.1972,5,simulation
XLE_2026-02-19T14:48:00+00:00,XLE,2026-02-19T14:48:00+00:00,2.812,55.83,-34.93,-0.3493,5,simulation
XLE_2026-02-19T14:49:00+00:00,XLE,2026-02-19T14:49:00+00:00,2.812,55.73,-13.46,-0.1346,5,simulation
