cycle_id,trade_id,pnl_usd,window_pnl,promoted_angle,exit_reason,entry_regime,exit_regime,regime_transition,symbol,sector,hold_bucket,exit_score_band,time_of_day,timestamp
cycle_0001,open_MS_2026-03-13T19:35:42.206787+00:00,-1.6961,28.18,UNKNOWN,"signal_decay(0.87)+stale_alpha_cutoff(3952min,-0.01%)",MIXED,MIXED,same,MS,UNKNOWN,long,low,afternoon,2026-03-16T13:33:43
cycle_0001,open_RIVN_2026-03-13T19:30:03.484908+00:00,2.1,28.18,UNKNOWN,"signal_decay(0.70)+flow_reversal+stale_alpha_cutoff(4002min,0.01%)",NEUTRAL,NEUTRAL,same,RIVN,UNKNOWN,long,low,afternoon,2026-03-16T14:12:34
cycle_0001,open_MSFT_2026-03-13T19:33:42.459239+00:00,-0.67,28.18,UNKNOWN,"signal_decay(0.34)+flow_reversal+stale_alpha_cutoff(3999min,-0.00%)",MIXED,MIXED,same,MSFT,UNKNOWN,long,low,afternoon,2026-03-16T14:12:36
cycle_0001,open_LOW_2026-03-13T19:36:00.035870+00:00,-3.27,28.18,UNKNOWN,"signal_decay(0.46)+stale_alpha_cutoff(3996min,-0.01%)",MIXED,MIXED,same,LOW,UNKNOWN,long,low,afternoon,2026-03-16T14:12:39
cycle_0001,open_IWM_2026-03-16T13:36:19.743732+00:00,-0.41,28.18,UNKNOWN,signal_decay(0.74)+flow_reversal,MIXED,MIXED,same,IWM,UNKNOWN,short,low,afternoon,2026-03-16T14:12:43
cycle_0001,open_XLI_2026-03-16T13:36:30.122220+00:00,-0.47,28.18,UNKNOWN,signal_decay(0.52),UNKNOWN,MIXED,shift,XLI,UNKNOWN,short,low,afternoon,2026-03-16T14:12:45
cycle_0001,open_DIA_2026-03-16T13:36:30.122890+00:00,-2.2,28.18,UNKNOWN,signal_decay(0.64),UNKNOWN,MIXED,shift,DIA,UNKNOWN,short,low,afternoon,2026-03-16T14:12:48
cycle_0001,open_XLV_2026-03-16T13:36:30.123521+00:00,-0.53,28.18,UNKNOWN,signal_decay(0.51),UNKNOWN,MIXED,shift,XLV,UNKNOWN,short,low,afternoon,2026-03-16T14:12:51
cycle_0001,open_WMT_2026-03-16T13:36:30.132179+00:00,0.54,28.18,UNKNOWN,signal_decay(0.67),UNKNOWN,MIXED,shift,WMT,UNKNOWN,short,low,afternoon,2026-03-16T14:12:53
cycle_0001,open_AMZN_2026-03-16T13:36:30.132988+00:00,-0.19,28.18,UNKNOWN,signal_decay(0.51),UNKNOWN,MIXED,shift,AMZN,UNKNOWN,short,low,afternoon,2026-03-16T14:12:56
