time_utc,symbol,direction,score,position_size_usd,order_type,fill_px_nearest
2026-01-15T16:00:09+00:00,LOW,bullish,4.193,$277.41,market,277.5200
2026-01-15T16:00:09+00:00,LOW,bullish,4.194,$277.41,market,277.5200
2026-01-15T16:00:21+00:00,XOM,bullish,4.117,$389.40,market,129.8500
2026-01-15T16:00:21+00:00,XOM,bullish,4.117,$389.40,market,129.8500
2026-01-15T16:00:36+00:00,HD,bullish,3.911,$377.91,market,378.1300
2026-01-15T16:00:36+00:00,HD,bullish,3.911,$377.91,market,378.1300
2026-01-15T16:01:02+00:00,TGT,bullish,3.896,$439.60,market,109.9100
2026-01-15T16:01:05+00:00,TGT,bullish,3.896,$439.60,market,109.9100
2026-01-15T16:01:18+00:00,HOOD,bullish,3.787,$464.14,market,115.9600
2026-01-15T16:01:22+00:00,HOOD,bullish,3.786,$464.14,market,115.9600
2026-01-15T16:01:34+00:00,BAC,bearish,3.749,$317.77,market,52.9600
2026-01-15T16:01:37+00:00,BAC,bearish,3.749,$317.77,market,52.9600
2026-01-15T16:02:41+00:00,GOOGL,bullish,4.383,$332.63,limit,332.7800
2026-01-15T16:02:56+00:00,GOOGL,bullish,4.383,$332.63,market,332.7800
2026-01-15T16:04:56+00:00,AAPL,bullish,4.168,$259.99,market,260.2000
2026-01-15T16:04:56+00:00,AAPL,bullish,4.169,$259.99,market,260.2000
2026-01-15T16:05:08+00:00,V,bullish,4.146,$330.37,market,330.5000
2026-01-15T16:05:08+00:00,V,bullish,4.145,$330.37,market,330.5000
2026-01-15T16:06:36+00:00,F,bearish,3.674,$361.27,limit,13.8900
2026-01-15T16:06:36+00:00,F,bearish,3.673,$361.27,limit,13.8900
2026-01-15T16:06:49+00:00,BA,bearish,3.512,$247.15,market,247.1000
2026-01-15T16:06:49+00:00,BA,bearish,3.513,$247.15,market,247.1000
2026-01-15T16:07:13+00:00,RIVN,bearish,3.368,$223.93,market,17.2100
2026-01-15T16:07:17+00:00,RIVN,bearish,3.368,$223.93,market,17.2100
2026-01-15T16:07:28+00:00,NFLX,bearish,3.355,$178.39,limit,89.1700
2026-01-15T16:07:39+00:00,MRNA,bearish,3.243,$238.44,limit,39.7000
2026-01-15T16:07:40+00:00,NFLX,bearish,3.355,$178.37,limit,89.1700
2026-01-15T16:07:57+00:00,COIN,bearish,3.207,$245.07,limit,244.9200
2026-01-15T16:08:05+00:00,COIN,bearish,3.208,$245.13,market,244.9200
2026-01-15T16:08:22+00:00,MS,bullish,3.174,$190.20,market,190.2700
2026-01-15T19:44:45+00:00,AAPL,bullish,3.425,$257.73,limit,257.7100
2026-01-15T19:44:51+00:00,HOOD,bullish,4.666,$453.46,market,113.5800
2026-01-15T19:44:53+00:00,HOOD,bullish,4.667,$454.04,limit,113.5800
2026-01-15T19:44:56+00:00,WMT,bullish,4.440,$478.68,limit,119.6700
2026-01-15T19:45:01+00:00,WMT,bullish,4.442,$478.64,limit,119.6700
2026-01-15T19:45:01+00:00,COIN,bullish,4.301,$491.49,limit,245.6800
2026-01-15T19:45:22+00:00,UNH,bullish,4.258,$337.28,market,337.3000
2026-01-15T19:45:22+00:00,UNH,bullish,4.256,$337.28,market,337.3000
2026-01-15T19:45:32+00:00,RIVN,bearish,3.146,$221.46,limit,17.0300
2026-01-15T19:45:36+00:00,RIVN,bearish,3.147,$221.46,limit,17.0300
2026-01-15T19:46:03+00:00,AMZN,bullish,4.012,$475.30,limit,237.6600
2026-01-15T19:46:12+00:00,AMZN,bullish,4.013,$475.32,market,237.6600
2026-01-15T19:47:23+00:00,V,bullish,3.944,$327.14,limit,327.1200
2026-01-15T19:47:34+00:00,V,bullish,3.942,$327.06,market,327.1200
2026-01-15T19:47:52+00:00,HD,bullish,3.869,$379.29,market,379.3500
2026-01-15T19:47:59+00:00,HD,bullish,3.866,$379.29,market,379.3500
2026-01-15T19:48:28+00:00,MS,bullish,3.445,$191.09,market,191.1200
2026-01-15T19:48:32+00:00,MS,bullish,3.443,$191.13,market,191.1200
2026-01-15T19:48:58+00:00,LOW,bullish,3.332,$277.07,market,277.1900
2026-01-15T19:49:01+00:00,LOW,bullish,3.335,$277.07,market,277.1900
2026-01-15T19:50:44+00:00,MSFT,bullish,3.539,$457.57,market,457.7900
2026-01-15T19:50:44+00:00,MSFT,bullish,3.539,$457.54,market,457.7900
2026-01-15T19:51:02+00:00,NIO,bullish,3.378,$303.23,limit,4.6700
2026-01-15T19:51:02+00:00,NIO,bullish,3.378,$303.23,limit,4.6700
2026-01-15T19:51:24+00:00,DIA,bullish,3.332,$495.31,limit,495.2400
2026-01-15T19:51:24+00:00,DIA,bullish,3.332,$495.34,limit,495.2400
2026-01-15T19:52:56+00:00,V,bullish,4.439,$327.43,market,327.5500
2026-01-15T19:52:59+00:00,V,bullish,4.439,$327.41,market,327.5500
2026-01-15T19:58:44+00:00,V,bullish,4.321,$327.18,market,327.1400
2026-01-15T20:04:13+00:00,V,bearish,3.748,$326.63,market,326.5100
2026-01-15T20:09:18+00:00,V,bearish,3.659,$326.43,limit,326.4800
2026-01-15T20:15:30+00:00,V,bearish,3.559,$326.85,limit,326.8200
2026-01-15T20:15:40+00:00,V,bearish,3.563,$326.85,market,326.8200
2026-01-15T20:16:39+00:00,GOOGL,bullish,5.608,$332.20,limit,332.1600
2026-01-15T20:21:26+00:00,V,bearish,3.476,$327.14,market,326.9800
2026-01-15T20:27:16+00:00,V,bearish,3.381,$327.18,market,327.0800
2026-01-15T20:27:19+00:00,V,bearish,3.381,$327.15,market,327.0800
2026-01-15T20:27:59+00:00,NVDA,bullish,3.499,$187.35,limit,187.2900
2026-01-15T20:27:59+00:00,NVDA,bullish,3.499,$187.35,limit,187.2900
2026-01-15T20:33:04+00:00,V,bearish,3.299,$327.43,market,327.4100
2026-01-15T20:38:53+00:00,V,bearish,3.213,$327.52,limit,327.4700
2026-01-15T20:38:53+00:00,V,bearish,3.213,$327.46,limit,327.4700
2026-01-15T20:44:21+00:00,V,bearish,3.141,$327.54,limit,327.5700
2026-01-15T20:44:21+00:00,V,bearish,3.140,$327.54,limit,327.5700
2026-01-15T20:45:34+00:00,PLTR,bearish,3.565,$355.24,limit,177.6200
2026-01-15T20:45:34+00:00,PLTR,bearish,3.566,$355.24,limit,177.6200
