symbol,closed_legs,pnl_usd,wins,losses,win_rate_pct,avg_hold_minutes
BA,1,-10.33,0,1,0.0,1215.2
BAC,1,-3.72,0,1,0.0,1151.8
C,1,21.71,1,0,100.0,1146.3
COIN,1,5.0,1,0,100.0,25.2
DIA,1,7.63,1,0,100.0,1148.8
F,1,-3.9,0,1,0.0,1149.6
HOOD,1,5.14,1,0,100.0,32.7
IWM,1,-3.59,0,1,0.0,1151.5
JNJ,1,-3.14,0,1,0.0,1148.4
JPM,1,-4.17,0,1,0.0,1152.2
LOW,1,2.13,1,0,100.0,1147.9
NVDA,1,-5.41,0,1,0.0,1152.4
PFE,1,0.63,1,0,100.0,1150.2
PLTR,1,-1.65,0,1,0.0,1152.1
SLB,1,1.39,1,0,100.0,1150.4
TSLA,1,-12.54,0,1,0.0,1152.3
WMT,1,-0.6,0,1,0.0,1149.7
XLI,1,-1.88,0,1,0.0,1151.7
